Tanggal;Provinsi;Gejala Positif;Total
2021-05-01;KEPULAUAN BANGKA BELITUNG;Batuk;4094
2021-05-02;KEPULAUAN BANGKA BELITUNG;Batuk;4122
2021-05-04;KEPULAUAN BANGKA BELITUNG;Batuk;4196
2021-05-06;KEPULAUAN BANGKA BELITUNG;Batuk;4284
2021-05-08;KEPULAUAN BANGKA BELITUNG;Batuk;4424
2021-05-10;KEPULAUAN BANGKA BELITUNG;Batuk;4512
2021-05-13;KEPULAUAN BANGKA BELITUNG;Batuk;4640
2021-05-14;KEPULAUAN BANGKA BELITUNG;Batuk;4660
2021-05-16;KEPULAUAN BANGKA BELITUNG;Batuk;4695
2021-05-19;KEPULAUAN BANGKA BELITUNG;Batuk;4816
2021-05-25;KEPULAUAN BANGKA BELITUNG;Batuk;5148
2021-05-26;KEPULAUAN BANGKA BELITUNG;Batuk;5229
2021-05-29;KEPULAUAN BANGKA BELITUNG;Batuk;5377
2021-05-31;KEPULAUAN BANGKA BELITUNG;Batuk;5489
2021-06-02;KEPULAUAN BANGKA BELITUNG;Batuk;5546
2021-06-10;KEPULAUAN BANGKA BELITUNG;Batuk;5851
2021-06-12;KEPULAUAN BANGKA BELITUNG;Batuk;5897
2021-06-13;KEPULAUAN BANGKA BELITUNG;Batuk;5910
2021-03-24;KEPULAUAN RIAU;Batuk;2712
2021-03-28;KEPULAUAN RIAU;Batuk;2743
2021-04-07;KEPULAUAN RIAU;Batuk;2825
2021-04-12;KEPULAUAN RIAU;Batuk;2876
2021-04-15;KEPULAUAN RIAU;Batuk;2954
2021-04-16;KEPULAUAN RIAU;Batuk;2974
2021-04-17;KEPULAUAN RIAU;Batuk;2995
2021-04-18;KEPULAUAN RIAU;Batuk;3021
2021-04-19;KEPULAUAN RIAU;Batuk;3029
2021-04-20;KEPULAUAN RIAU;Batuk;3055
2021-04-21;KEPULAUAN RIAU;Batuk;3073
2021-04-22;KEPULAUAN RIAU;Batuk;3098
2021-04-23;KEPULAUAN RIAU;Batuk;3113
2021-04-24;KEPULAUAN RIAU;Batuk;3143
2021-04-25;KEPULAUAN RIAU;Batuk;3188
2021-04-26;KEPULAUAN RIAU;Batuk;3229
2021-04-27;KEPULAUAN RIAU;Batuk;3251
2021-04-30;KEPULAUAN RIAU;Batuk;3353
2021-05-01;KEPULAUAN RIAU;Batuk;3407
2021-05-02;KEPULAUAN RIAU;Batuk;3450
2021-05-04;KEPULAUAN RIAU;Batuk;3536
2021-05-06;KEPULAUAN RIAU;Batuk;3640
2021-05-08;KEPULAUAN RIAU;Batuk;3702
2021-05-10;KEPULAUAN RIAU;Batuk;3762
2021-05-13;KEPULAUAN RIAU;Batuk;3873
2021-05-14;KEPULAUAN RIAU;Batuk;3903
2021-05-16;KEPULAUAN RIAU;Batuk;4026
2021-05-19;KEPULAUAN RIAU;Batuk;4148
2021-05-25;KEPULAUAN RIAU;Batuk;4529
2021-05-26;KEPULAUAN RIAU;Batuk;4586
2021-05-29;KEPULAUAN RIAU;Batuk;4912
2021-05-31;KEPULAUAN RIAU;Batuk;5048
2021-06-02;KEPULAUAN RIAU;Batuk;5222
2021-06-10;KEPULAUAN RIAU;Batuk;5865
2021-06-12;KEPULAUAN RIAU;Batuk;6040
2021-06-13;KEPULAUAN RIAU;Batuk;6104
2021-03-24;LAMPUNG;Batuk;4110
2021-03-28;LAMPUNG;Batuk;4163
2021-04-07;LAMPUNG;Batuk;4295
2021-04-12;LAMPUNG;Batuk;4373
2021-04-15;LAMPUNG;Batuk;4429
2021-04-16;LAMPUNG;Batuk;4449
2021-04-17;LAMPUNG;Batuk;4470
2021-04-18;LAMPUNG;Batuk;4496
2021-04-19;LAMPUNG;Batuk;4524
2021-04-20;LAMPUNG;Batuk;4556
2021-04-21;LAMPUNG;Batuk;4582
2021-04-22;LAMPUNG;Batuk;4601
2021-04-23;LAMPUNG;Batuk;4625
2021-04-24;LAMPUNG;Batuk;4646
2021-04-25;LAMPUNG;Batuk;4670
2021-04-26;LAMPUNG;Batuk;4690
2021-04-27;LAMPUNG;Batuk;4711
2021-04-30;LAMPUNG;Batuk;4793
2021-05-01;LAMPUNG;Batuk;4812
2021-05-02;LAMPUNG;Batuk;4835
2021-05-04;LAMPUNG;Batuk;4879
2021-05-06;LAMPUNG;Batuk;4922
2021-05-08;LAMPUNG;Batuk;4961
2021-05-10;LAMPUNG;Batuk;4991
2021-05-13;LAMPUNG;Batuk;5057
2021-05-14;LAMPUNG;Batuk;5066
2021-05-16;LAMPUNG;Batuk;5103
2021-05-19;LAMPUNG;Batuk;5156
2021-05-25;LAMPUNG;Batuk;5309
2021-05-26;LAMPUNG;Batuk;5331
2021-05-29;LAMPUNG;Batuk;5403
2021-05-31;LAMPUNG;Batuk;5459
2021-06-02;LAMPUNG;Batuk;5515
2021-06-10;LAMPUNG;Batuk;5750
2021-06-12;LAMPUNG;Batuk;5805
2021-06-13;LAMPUNG;Batuk;5839
2021-03-24;MALUKU;Batuk;2185
2021-03-28;MALUKU;Batuk;2202
2021-04-07;MALUKU;Batuk;2218
2021-04-12;MALUKU;Batuk;2231
2021-04-15;MALUKU;Batuk;2237
2021-04-16;MALUKU;Batuk;2238
2021-04-17;MALUKU;Batuk;2242
2021-04-18;MALUKU;Batuk;2246
2021-04-19;MALUKU;Batuk;2246
2021-04-20;MALUKU;Batuk;2247
2021-04-21;MALUKU;Batuk;2250
2021-04-22;MALUKU;Batuk;2250
2021-04-23;MALUKU;Batuk;2252
2021-04-24;MALUKU;Batuk;2252
2021-04-25;MALUKU;Batuk;2255
2021-04-26;MALUKU;Batuk;2255
2021-04-27;MALUKU;Batuk;2255
2021-04-30;MALUKU;Batuk;2259
2021-05-01;MALUKU;Batuk;2259
2021-05-02;MALUKU;Batuk;2261
2021-05-04;MALUKU;Batuk;2265
2021-05-06;MALUKU;Batuk;2272
2021-05-08;MALUKU;Batuk;2278
2021-05-10;MALUKU;Batuk;2279
2021-05-13;MALUKU;Batuk;2279
2021-05-14;MALUKU;Batuk;2289
2021-05-16;MALUKU;Batuk;2291
2021-05-19;MALUKU;Batuk;2297
2021-05-25;MALUKU;Batuk;2315
2021-05-26;MALUKU;Batuk;2315
2021-05-29;MALUKU;Batuk;2322
2021-05-31;MALUKU;Batuk;2323
2021-06-02;MALUKU;Batuk;2323
2021-06-10;MALUKU;Batuk;2348
2021-06-12;MALUKU;Batuk;2357
2021-06-13;MALUKU;Batuk;2366
2021-03-24;MALUKU UTARA;Batuk;1285
2021-03-28;MALUKU UTARA;Batuk;1291
2021-04-07;MALUKU UTARA;Batuk;1305
2021-04-12;MALUKU UTARA;Batuk;1307
2021-04-15;MALUKU UTARA;Batuk;1311
2021-04-16;MALUKU UTARA;Batuk;1311
2021-04-17;MALUKU UTARA;Batuk;1313
2021-04-18;MALUKU UTARA;Batuk;1314
2021-04-19;MALUKU UTARA;Batuk;1315
2021-04-20;MALUKU UTARA;Batuk;1316
2021-04-21;MALUKU UTARA;Batuk;1319
2021-04-22;MALUKU UTARA;Batuk;1320
2021-04-23;MALUKU UTARA;Batuk;1321
2021-04-24;MALUKU UTARA;Batuk;1322
2021-04-25;MALUKU UTARA;Batuk;1324
2021-04-26;MALUKU UTARA;Batuk;1324
2021-04-27;MALUKU UTARA;Batuk;1324
2021-04-30;MALUKU UTARA;Batuk;1325
2021-05-01;MALUKU UTARA;Batuk;1325
2021-05-02;MALUKU UTARA;Batuk;1325
2021-05-04;MALUKU UTARA;Batuk;1326
2021-05-06;MALUKU UTARA;Batuk;1329
2021-05-08;MALUKU UTARA;Batuk;1330
2021-05-10;MALUKU UTARA;Batuk;1330
2021-05-13;MALUKU UTARA;Batuk;1332
2021-05-14;MALUKU UTARA;Batuk;1332
2021-05-16;MALUKU UTARA;Batuk;1335
2021-05-19;MALUKU UTARA;Batuk;1337
2021-05-25;MALUKU UTARA;Batuk;1347
2021-05-26;MALUKU UTARA;Batuk;1347
2021-05-29;MALUKU UTARA;Batuk;1349
2021-05-31;MALUKU UTARA;Batuk;1355
2021-06-02;MALUKU UTARA;Batuk;1357
2021-06-10;MALUKU UTARA;Batuk;1375
2021-06-12;MALUKU UTARA;Batuk;1380
2021-06-13;MALUKU UTARA;Batuk;1384
2021-03-24;NUSA TENGGARA BARAT;Batuk;2808
2021-03-28;NUSA TENGGARA BARAT;Batuk;2838
2021-04-07;NUSA TENGGARA BARAT;Batuk;2919
2021-04-12;NUSA TENGGARA BARAT;Batuk;2960
2021-04-15;NUSA TENGGARA BARAT;Batuk;2977
2021-04-16;NUSA TENGGARA BARAT;Batuk;3003
2021-04-17;NUSA TENGGARA BARAT;Batuk;3013
2021-04-18;NUSA TENGGARA BARAT;Batuk;3013
2021-04-19;NUSA TENGGARA BARAT;Batuk;3028
2021-04-20;NUSA TENGGARA BARAT;Batuk;3034
2021-04-21;NUSA TENGGARA BARAT;Batuk;3046
2021-04-22;NUSA TENGGARA BARAT;Batuk;3051
2021-04-23;NUSA TENGGARA BARAT;Batuk;3051
2021-04-24;NUSA TENGGARA BARAT;Batuk;3051
2021-04-25;NUSA TENGGARA BARAT;Batuk;3052
2021-04-26;NUSA TENGGARA BARAT;Batuk;3070
2021-04-27;NUSA TENGGARA BARAT;Batuk;3087
2021-04-30;NUSA TENGGARA BARAT;Batuk;3132
2021-05-01;NUSA TENGGARA BARAT;Batuk;3138
2021-05-02;NUSA TENGGARA BARAT;Batuk;3146
2021-05-04;NUSA TENGGARA BARAT;Batuk;3194
2021-05-06;NUSA TENGGARA BARAT;Batuk;3208
2021-05-08;NUSA TENGGARA BARAT;Batuk;3223
2021-05-10;NUSA TENGGARA BARAT;Batuk;3232
2021-05-13;NUSA TENGGARA BARAT;Batuk;3245
2021-05-14;NUSA TENGGARA BARAT;Batuk;3248
2021-05-16;NUSA TENGGARA BARAT;Batuk;3255
2021-05-19;NUSA TENGGARA BARAT;Batuk;3290
2021-05-25;NUSA TENGGARA BARAT;Batuk;3334
2021-05-26;NUSA TENGGARA BARAT;Batuk;3341
2021-05-29;NUSA TENGGARA BARAT;Batuk;3493
2021-05-31;NUSA TENGGARA BARAT;Batuk;3587
2021-06-02;NUSA TENGGARA BARAT;Batuk;3648
2021-06-10;NUSA TENGGARA BARAT;Batuk;3771
2021-06-12;NUSA TENGGARA BARAT;Batuk;3783
2021-06-13;NUSA TENGGARA BARAT;Batuk;3786
2021-03-24;NUSA TENGGARA TIMUR;Batuk;3604
2021-03-28;NUSA TENGGARA TIMUR;Batuk;3654
2021-04-07;NUSA TENGGARA TIMUR;Batuk;3805
2021-04-12;NUSA TENGGARA TIMUR;Batuk;3853
2021-04-15;NUSA TENGGARA TIMUR;Batuk;3920
2021-04-16;NUSA TENGGARA TIMUR;Batuk;3959
2021-04-17;NUSA TENGGARA TIMUR;Batuk;3966
2021-04-18;NUSA TENGGARA TIMUR;Batuk;3967
2021-04-19;NUSA TENGGARA TIMUR;Batuk;3975
2021-04-20;NUSA TENGGARA TIMUR;Batuk;4049
2021-04-21;NUSA TENGGARA TIMUR;Batuk;4135
2021-04-22;NUSA TENGGARA TIMUR;Batuk;4172
2021-04-23;NUSA TENGGARA TIMUR;Batuk;4180
2021-04-24;NUSA TENGGARA TIMUR;Batuk;4196
2021-04-25;NUSA TENGGARA TIMUR;Batuk;4200
2021-04-26;NUSA TENGGARA TIMUR;Batuk;4222
2021-04-27;NUSA TENGGARA TIMUR;Batuk;4260
2021-04-30;NUSA TENGGARA TIMUR;Batuk;4306
2021-05-01;NUSA TENGGARA TIMUR;Batuk;4315
2021-05-02;NUSA TENGGARA TIMUR;Batuk;4391
2021-05-04;NUSA TENGGARA TIMUR;Batuk;4427
2021-05-06;NUSA TENGGARA TIMUR;Batuk;4525
2021-05-08;NUSA TENGGARA TIMUR;Batuk;4575
2021-05-10;NUSA TENGGARA TIMUR;Batuk;4609
2021-05-13;NUSA TENGGARA TIMUR;Batuk;4650
2021-05-14;NUSA TENGGARA TIMUR;Batuk;4673
2021-05-16;NUSA TENGGARA TIMUR;Batuk;4675
2021-05-19;NUSA TENGGARA TIMUR;Batuk;4709
2021-05-25;NUSA TENGGARA TIMUR;Batuk;4766
2021-05-26;NUSA TENGGARA TIMUR;Batuk;4772
2021-05-29;NUSA TENGGARA TIMUR;Batuk;4826
2021-05-31;NUSA TENGGARA TIMUR;Batuk;4878
2021-06-02;NUSA TENGGARA TIMUR;Batuk;4899
2021-06-10;NUSA TENGGARA TIMUR;Batuk;5113
2021-06-12;NUSA TENGGARA TIMUR;Batuk;5131
2021-06-13;NUSA TENGGARA TIMUR;Batuk;5149
2021-03-24;PAPUA;Batuk;5726
2021-03-28;PAPUA;Batuk;5829
2021-04-07;PAPUA;Batuk;5936
2021-04-12;PAPUA;Batuk;6016
2021-04-15;PAPUA;Batuk;6038
2021-04-16;PAPUA;Batuk;6051
2021-04-17;PAPUA;Batuk;6055
2021-04-18;PAPUA;Batuk;6057
2021-04-19;PAPUA;Batuk;6066
2021-04-20;PAPUA;Batuk;6070
2021-04-21;PAPUA;Batuk;6077
2021-04-22;PAPUA;Batuk;6081
2021-04-23;PAPUA;Batuk;6084
2021-04-24;PAPUA;Batuk;6085
2021-04-25;PAPUA;Batuk;6088
2021-04-26;PAPUA;Batuk;6088
2021-04-27;PAPUA;Batuk;6092
2021-04-30;PAPUA;Batuk;6110
2021-05-01;PAPUA;Batuk;6110
2021-05-02;PAPUA;Batuk;6110
2021-05-04;PAPUA;Batuk;6110
2021-05-06;PAPUA;Batuk;6122
2021-05-08;PAPUA;Batuk;6123
2021-05-10;PAPUA;Batuk;6128
2021-05-13;PAPUA;Batuk;6130
2021-05-14;PAPUA;Batuk;6130
2021-05-16;PAPUA;Batuk;6130
2021-05-19;PAPUA;Batuk;6130
2021-05-25;PAPUA;Batuk;6138
2021-05-26;PAPUA;Batuk;6138
2021-05-29;PAPUA;Batuk;6138
2021-05-31;PAPUA;Batuk;6138
2021-06-02;PAPUA;Batuk;6138
2021-06-10;PAPUA;Batuk;6163
2021-06-12;PAPUA;Batuk;6178
2021-06-13;PAPUA;Batuk;6180
2021-03-24;PAPUA BARAT;Batuk;2445
2021-03-28;PAPUA BARAT;Batuk;2479
2021-04-07;PAPUA BARAT;Batuk;2536
2021-04-12;PAPUA BARAT;Batuk;2563
2021-04-15;PAPUA BARAT;Batuk;2594
2021-04-16;PAPUA BARAT;Batuk;2603
2021-04-17;PAPUA BARAT;Batuk;2611
2021-04-18;PAPUA BARAT;Batuk;2616
2021-04-19;PAPUA BARAT;Batuk;2618
2021-04-20;PAPUA BARAT;Batuk;2622
2021-04-21;PAPUA BARAT;Batuk;2626
2021-04-22;PAPUA BARAT;Batuk;2635
2021-04-23;PAPUA BARAT;Batuk;2642
2021-04-24;PAPUA BARAT;Batuk;2648
2021-04-25;PAPUA BARAT;Batuk;2649
2021-04-26;PAPUA BARAT;Batuk;2652
2021-04-27;PAPUA BARAT;Batuk;2664
2021-04-30;PAPUA BARAT;Batuk;2683
2021-05-01;PAPUA BARAT;Batuk;2692
2021-05-02;PAPUA BARAT;Batuk;2696
2021-05-04;PAPUA BARAT;Batuk;2702
2021-05-06;PAPUA BARAT;Batuk;2712
2021-05-08;PAPUA BARAT;Batuk;2724
2021-05-10;PAPUA BARAT;Batuk;2729
2021-05-13;PAPUA BARAT;Batuk;2742
2021-05-14;PAPUA BARAT;Batuk;2743
2021-05-16;PAPUA BARAT;Batuk;2747
2021-05-19;PAPUA BARAT;Batuk;2755
2021-05-25;PAPUA BARAT;Batuk;2775
2021-05-26;PAPUA BARAT;Batuk;2780
2021-05-29;PAPUA BARAT;Batuk;2788
2021-05-31;PAPUA BARAT;Batuk;2795
2021-06-02;PAPUA BARAT;Batuk;2799
2021-06-10;PAPUA BARAT;Batuk;2827
2021-06-12;PAPUA BARAT;Batuk;2835
2021-06-13;PAPUA BARAT;Batuk;2839
2021-03-24;RIAU;Batuk;10160
2021-03-28;RIAU;Batuk;10317
2021-04-07;RIAU;Batuk;10802
2021-04-12;RIAU;Batuk;11142
2021-04-15;RIAU;Batuk;11399
2021-04-16;RIAU;Batuk;11470
2021-04-17;RIAU;Batuk;11566
2021-04-18;RIAU;Batuk;11665
2021-04-19;RIAU;Batuk;11733
2021-04-20;RIAU;Batuk;11856
2021-04-21;RIAU;Batuk;11994
2021-04-22;RIAU;Batuk;12120
2021-04-23;RIAU;Batuk;12263
2021-04-24;RIAU;Batuk;12389
2021-04-25;RIAU;Batuk;12510
2021-04-26;RIAU;Batuk;12695
2021-04-27;RIAU;Batuk;12809
2021-04-30;RIAU;Batuk;13283
2021-05-01;RIAU;Batuk;13396
2021-05-02;RIAU;Batuk;13571
2021-05-04;RIAU;Batuk;13818
2021-05-06;RIAU;Batuk;14145
2021-05-08;RIAU;Batuk;14530
2021-05-10;RIAU;Batuk;14831
2021-05-13;RIAU;Batuk;15318
2021-05-14;RIAU;Batuk;15352
2021-05-16;RIAU;Batuk;15502
2021-05-19;RIAU;Batuk;15809
2021-05-25;RIAU;Batuk;16850
2021-05-26;RIAU;Batuk;17072
2021-05-29;RIAU;Batuk;17661
2021-05-31;RIAU;Batuk;18021
2021-06-02;RIAU;Batuk;18341
2021-06-10;RIAU;Batuk;19393
2021-06-12;RIAU;Batuk;19625
2021-06-13;RIAU;Batuk;19722
2021-03-24;SULAWESI BARAT;Batuk;1607
2021-03-28;SULAWESI BARAT;Batuk;1609
2021-04-07;SULAWESI BARAT;Batuk;1613
2021-04-12;SULAWESI BARAT;Batuk;1617
2021-04-15;SULAWESI BARAT;Batuk;1619
2021-04-16;SULAWESI BARAT;Batuk;1621
2021-04-17;SULAWESI BARAT;Batuk;1621
2021-04-18;SULAWESI BARAT;Batuk;1621
2021-04-19;SULAWESI BARAT;Batuk;1622
2021-04-20;SULAWESI BARAT;Batuk;1624
2021-04-21;SULAWESI BARAT;Batuk;1627
2021-04-22;SULAWESI BARAT;Batuk;1629
2021-04-23;SULAWESI BARAT;Batuk;1630
2021-04-24;SULAWESI BARAT;Batuk;1631
2021-04-25;SULAWESI BARAT;Batuk;1633
2021-04-26;SULAWESI BARAT;Batuk;1633
2021-04-27;SULAWESI BARAT;Batuk;1633
2021-04-30;SULAWESI BARAT;Batuk;1634
2021-05-01;SULAWESI BARAT;Batuk;1635
2021-05-02;SULAWESI BARAT;Batuk;1642
2021-05-04;SULAWESI BARAT;Batuk;1642
2021-05-06;SULAWESI BARAT;Batuk;1643
2021-05-08;SULAWESI BARAT;Batuk;1643
2021-05-10;SULAWESI BARAT;Batuk;1644
2021-05-13;SULAWESI BARAT;Batuk;1646
2021-05-14;SULAWESI BARAT;Batuk;1646
2021-05-16;SULAWESI BARAT;Batuk;1647
2021-05-19;SULAWESI BARAT;Batuk;1649
2021-05-25;SULAWESI BARAT;Batuk;1649
2021-05-26;SULAWESI BARAT;Batuk;1649
2021-05-29;SULAWESI BARAT;Batuk;1650
2021-05-31;SULAWESI BARAT;Batuk;1650
2021-06-02;SULAWESI BARAT;Batuk;1653
2021-06-10;SULAWESI BARAT;Batuk;1679
2021-06-12;SULAWESI BARAT;Batuk;1684
2021-06-13;SULAWESI BARAT;Batuk;1684
2021-03-24;SULAWESI SELATAN;Batuk;17765
2021-03-28;SULAWESI SELATAN;Batuk;17816
2021-04-07;SULAWESI SELATAN;Batuk;18093
2021-04-12;SULAWESI SELATAN;Batuk;18214
2021-04-15;SULAWESI SELATAN;Batuk;18305
2021-04-16;SULAWESI SELATAN;Batuk;18319
2021-04-17;SULAWESI SELATAN;Batuk;18329
2021-04-18;SULAWESI SELATAN;Batuk;18336
2021-04-19;SULAWESI SELATAN;Batuk;18341
2021-04-20;SULAWESI SELATAN;Batuk;18365
2021-04-21;SULAWESI SELATAN;Batuk;18384
2021-04-22;SULAWESI SELATAN;Batuk;18390
2021-04-23;SULAWESI SELATAN;Batuk;18398
2021-04-24;SULAWESI SELATAN;Batuk;18402
2021-04-25;SULAWESI SELATAN;Batuk;18404
2021-04-26;SULAWESI SELATAN;Batuk;18409
2021-04-27;SULAWESI SELATAN;Batuk;18426
2021-04-30;SULAWESI SELATAN;Batuk;18449
2021-05-01;SULAWESI SELATAN;Batuk;18456
2021-05-02;SULAWESI SELATAN;Batuk;18457
2021-05-04;SULAWESI SELATAN;Batuk;18467
2021-05-06;SULAWESI SELATAN;Batuk;18474
2021-05-08;SULAWESI SELATAN;Batuk;18488
2021-05-10;SULAWESI SELATAN;Batuk;18499
2021-05-13;SULAWESI SELATAN;Batuk;18511
2021-05-14;SULAWESI SELATAN;Batuk;18512
2021-05-16;SULAWESI SELATAN;Batuk;18514
2021-05-19;SULAWESI SELATAN;Batuk;18539
2021-05-25;SULAWESI SELATAN;Batuk;18605
2021-05-26;SULAWESI SELATAN;Batuk;18607
2021-05-29;SULAWESI SELATAN;Batuk;18632
2021-05-31;SULAWESI SELATAN;Batuk;18653
2021-06-02;SULAWESI SELATAN;Batuk;18669
2021-06-10;SULAWESI SELATAN;Batuk;18776
2021-06-12;SULAWESI SELATAN;Batuk;18797
2021-06-13;SULAWESI SELATAN;Batuk;18802
2021-03-24;SULAWESI TENGAH;Batuk;3306
2021-03-28;SULAWESI TENGAH;Batuk;3332
2021-04-07;SULAWESI TENGAH;Batuk;3427
2021-04-12;SULAWESI TENGAH;Batuk;3474
2021-04-15;SULAWESI TENGAH;Batuk;3517
2021-04-16;SULAWESI TENGAH;Batuk;3524
2021-04-17;SULAWESI TENGAH;Batuk;3545
2021-04-18;SULAWESI TENGAH;Batuk;3548
2021-04-19;SULAWESI TENGAH;Batuk;3572
2021-04-20;SULAWESI TENGAH;Batuk;3576
2021-04-21;SULAWESI TENGAH;Batuk;3584
2021-04-22;SULAWESI TENGAH;Batuk;3586
2021-04-23;SULAWESI TENGAH;Batuk;3598
2021-04-24;SULAWESI TENGAH;Batuk;3611
2021-04-25;SULAWESI TENGAH;Batuk;3614
2021-04-26;SULAWESI TENGAH;Batuk;3626
2021-04-27;SULAWESI TENGAH;Batuk;3638
2021-04-30;SULAWESI TENGAH;Batuk;3685
2021-05-01;SULAWESI TENGAH;Batuk;3691
2021-05-02;SULAWESI TENGAH;Batuk;3695
2021-05-04;SULAWESI TENGAH;Batuk;3718
2021-05-06;SULAWESI TENGAH;Batuk;3741
2021-05-08;SULAWESI TENGAH;Batuk;3755
2021-05-10;SULAWESI TENGAH;Batuk;3762
2021-05-13;SULAWESI TENGAH;Batuk;3800
2021-05-14;SULAWESI TENGAH;Batuk;3804
2021-05-16;SULAWESI TENGAH;Batuk;3806
2021-05-19;SULAWESI TENGAH;Batuk;3817
2021-05-25;SULAWESI TENGAH;Batuk;3841
2021-05-26;SULAWESI TENGAH;Batuk;3846
2021-05-29;SULAWESI TENGAH;Batuk;3864
2021-05-31;SULAWESI TENGAH;Batuk;3869
2021-06-02;SULAWESI TENGAH;Batuk;3880
2021-06-10;SULAWESI TENGAH;Batuk;3916
2021-06-12;SULAWESI TENGAH;Batuk;3921
2021-06-13;SULAWESI TENGAH;Batuk;3924
2021-03-24;SULAWESI TENGGARA;Batuk;3068
2021-03-28;SULAWESI TENGGARA;Batuk;3075
2021-04-07;SULAWESI TENGGARA;Batuk;3089
2021-04-12;SULAWESI TENGGARA;Batuk;3096
2021-04-15;SULAWESI TENGGARA;Batuk;3098
2021-04-16;SULAWESI TENGGARA;Batuk;3099
2021-04-17;SULAWESI TENGGARA;Batuk;3101
2021-04-18;SULAWESI TENGGARA;Batuk;3104
2021-04-19;SULAWESI TENGGARA;Batuk;3106
2021-04-20;SULAWESI TENGGARA;Batuk;3108
2021-04-21;SULAWESI TENGGARA;Batuk;3109
2021-04-22;SULAWESI TENGGARA;Batuk;3112
2021-04-23;SULAWESI TENGGARA;Batuk;3115
2021-04-24;SULAWESI TENGGARA;Batuk;3116
2021-04-25;SULAWESI TENGGARA;Batuk;3116
2021-04-26;SULAWESI TENGGARA;Batuk;3117
2021-04-27;SULAWESI TENGGARA;Batuk;3119
2021-04-30;SULAWESI TENGGARA;Batuk;3126
2021-05-01;SULAWESI TENGGARA;Batuk;3128
2021-05-02;SULAWESI TENGGARA;Batuk;3128
2021-05-04;SULAWESI TENGGARA;Batuk;3129
2021-05-06;SULAWESI TENGGARA;Batuk;3133
2021-05-08;SULAWESI TENGGARA;Batuk;3135
2021-05-10;SULAWESI TENGGARA;Batuk;3137
2021-05-13;SULAWESI TENGGARA;Batuk;3141
2021-05-14;SULAWESI TENGGARA;Batuk;3141
2021-05-16;SULAWESI TENGGARA;Batuk;3141
2021-05-19;SULAWESI TENGGARA;Batuk;3143
2021-05-25;SULAWESI TENGGARA;Batuk;3149
2021-05-26;SULAWESI TENGGARA;Batuk;3149
2021-05-29;SULAWESI TENGGARA;Batuk;3154
2021-05-31;SULAWESI TENGGARA;Batuk;3156
2021-06-02;SULAWESI TENGGARA;Batuk;3157
2021-06-10;SULAWESI TENGGARA;Batuk;3172
2021-06-12;SULAWESI TENGGARA;Batuk;3176
2021-06-13;SULAWESI TENGGARA;Batuk;3179
2021-03-24;SULAWESI UTARA;Batuk;4584
2021-03-28;SULAWESI UTARA;Batuk;4605
2021-04-07;SULAWESI UTARA;Batuk;4621
2021-04-12;SULAWESI UTARA;Batuk;4629
2021-04-15;SULAWESI UTARA;Batuk;4642
2021-04-16;SULAWESI UTARA;Batuk;4644
2021-04-17;SULAWESI UTARA;Batuk;4645
2021-04-18;SULAWESI UTARA;Batuk;4645
2021-04-19;SULAWESI UTARA;Batuk;4647
2021-04-20;SULAWESI UTARA;Batuk;4648
2021-04-21;SULAWESI UTARA;Batuk;4648
2021-04-22;SULAWESI UTARA;Batuk;4654
2021-04-23;SULAWESI UTARA;Batuk;4674
2021-04-24;SULAWESI UTARA;Batuk;4676
2021-04-25;SULAWESI UTARA;Batuk;4689
2021-04-26;SULAWESI UTARA;Batuk;4690
2021-04-27;SULAWESI UTARA;Batuk;4691
2021-04-30;SULAWESI UTARA;Batuk;4695
2021-05-01;SULAWESI UTARA;Batuk;4697
2021-05-02;SULAWESI UTARA;Batuk;4697
2021-05-04;SULAWESI UTARA;Batuk;4699
2021-05-06;SULAWESI UTARA;Batuk;4700
2021-05-08;SULAWESI UTARA;Batuk;4704
2021-05-10;SULAWESI UTARA;Batuk;4705
2021-05-13;SULAWESI UTARA;Batuk;4717
2021-05-14;SULAWESI UTARA;Batuk;4717
2021-05-16;SULAWESI UTARA;Batuk;4717
2021-05-19;SULAWESI UTARA;Batuk;4718
2021-05-25;SULAWESI UTARA;Batuk;4727
2021-05-26;SULAWESI UTARA;Batuk;4728
2021-05-29;SULAWESI UTARA;Batuk;4730
2021-05-31;SULAWESI UTARA;Batuk;4732
2021-06-02;SULAWESI UTARA;Batuk;4735
2021-06-10;SULAWESI UTARA;Batuk;4753
2021-06-12;SULAWESI UTARA;Batuk;4757
2021-06-13;SULAWESI UTARA;Batuk;4758
2021-03-24;SUMATERA BARAT;Batuk;9304
2021-03-28;SUMATERA BARAT;Batuk;9437
2021-04-07;SUMATERA BARAT;Batuk;9732
2021-04-12;SUMATERA BARAT;Batuk;9938
2021-04-15;SUMATERA BARAT;Batuk;10068
2021-04-16;SUMATERA BARAT;Batuk;10118
2021-04-17;SUMATERA BARAT;Batuk;10180
2021-04-18;SUMATERA BARAT;Batuk;10241
2021-04-19;SUMATERA BARAT;Batuk;10268
2021-04-20;SUMATERA BARAT;Batuk;10321
2021-04-21;SUMATERA BARAT;Batuk;10475
2021-04-22;SUMATERA BARAT;Batuk;10561
2021-04-23;SUMATERA BARAT;Batuk;10630
2021-04-24;SUMATERA BARAT;Batuk;10719
2021-04-25;SUMATERA BARAT;Batuk;10789
2021-04-26;SUMATERA BARAT;Batuk;10817
2021-04-27;SUMATERA BARAT;Batuk;10880
