Tanggal;Provinsi;Gejala Positif;Total
2021-04-27;BENGKULU;Tidak ada;3315
2021-04-30;BENGKULU;Tidak ada;3391
2021-05-01;BENGKULU;Tidak ada;3442
2021-05-02;BENGKULU;Tidak ada;3480
2021-05-04;BENGKULU;Tidak ada;3510
2021-05-06;BENGKULU;Tidak ada;3553
2021-05-08;BENGKULU;Tidak ada;3623
2021-05-10;BENGKULU;Tidak ada;3651
2021-05-13;BENGKULU;Tidak ada;3701
2021-05-14;BENGKULU;Tidak ada;3716
2021-05-16;BENGKULU;Tidak ada;3722
2021-05-19;BENGKULU;Tidak ada;3754
2021-05-25;BENGKULU;Tidak ada;3897
2021-05-26;BENGKULU;Tidak ada;3910
2021-05-29;BENGKULU;Tidak ada;3993
2021-05-31;BENGKULU;Tidak ada;4037
2021-06-02;BENGKULU;Tidak ada;4064
2021-06-10;BENGKULU;Tidak ada;4229
2021-06-12;BENGKULU;Tidak ada;4283
2021-06-13;BENGKULU;Tidak ada;4334
2021-03-24;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;16027
2021-03-28;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;16406
2021-04-07;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;17392
2021-04-12;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;17858
2021-04-15;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18231
2021-04-16;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18340
2021-04-17;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18419
2021-04-18;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18490
2021-04-19;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18575
2021-04-20;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18680
2021-04-21;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18795
2021-04-22;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18923
2021-04-23;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18992
2021-04-24;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19066
2021-04-25;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19178
2021-04-26;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19270
2021-04-27;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19352
2021-04-30;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19758
2021-05-01;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19822
2021-05-02;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19912
2021-05-04;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20070
2021-05-06;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20301
2021-05-08;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20461
2021-05-10;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20602
2021-05-13;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20840
2021-05-14;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20889
2021-05-16;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21003
2021-05-19;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21262
2021-05-25;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21823
2021-05-26;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21918
2021-05-29;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;22206
2021-05-31;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;22373
2021-06-02;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;22617
2021-06-10;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;23716
2021-06-12;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;24143
2021-06-13;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;24376
2021-03-24;DKI JAKARTA;Tidak ada;186881
2021-03-28;DKI JAKARTA;Tidak ada;189846
2021-04-07;DKI JAKARTA;Tidak ada;194169
2021-04-12;DKI JAKARTA;Tidak ada;196645
2021-04-15;DKI JAKARTA;Tidak ada;198055
2021-04-16;DKI JAKARTA;Tidak ada;198544
2021-04-17;DKI JAKARTA;Tidak ada;199063
2021-04-18;DKI JAKARTA;Tidak ada;199538
2021-04-19;DKI JAKARTA;Tidak ada;200024
2021-04-20;DKI JAKARTA;Tidak ada;200254
2021-04-21;DKI JAKARTA;Tidak ada;200555
2021-04-22;DKI JAKARTA;Tidak ada;201188
2021-04-23;DKI JAKARTA;Tidak ada;201630
2021-04-24;DKI JAKARTA;Tidak ada;202084
2021-04-25;DKI JAKARTA;Tidak ada;202532
2021-04-26;DKI JAKARTA;Tidak ada;202906
