"Tanggal","Provinsi","Jenis Kelamin","Jumlah"
"2021-04-27","BENGKULU","laki-laki",2978
"2021-04-30","BENGKULU","laki-laki",3040
"2021-05-01","BENGKULU","laki-laki",3090
"2021-05-02","BENGKULU","laki-laki",3123
"2021-05-04","BENGKULU","laki-laki",3151
"2021-05-06","BENGKULU","laki-laki",3195
"2021-05-08","BENGKULU","laki-laki",3262
"2021-05-10","BENGKULU","laki-laki",3290
"2021-05-13","BENGKULU","laki-laki",3334
"2021-05-14","BENGKULU","laki-laki",3357
"2021-05-16","BENGKULU","laki-laki",3361
"2021-05-19","BENGKULU","laki-laki",3378
"2021-05-25","BENGKULU","laki-laki",3500
"2021-05-26","BENGKULU","laki-laki",3515
"2021-05-29","BENGKULU","laki-laki",3596
"2021-05-31","BENGKULU","laki-laki",3629
"2021-06-02","BENGKULU","laki-laki",3644
"2021-06-10","BENGKULU","laki-laki",3767
"2021-06-12","BENGKULU","laki-laki",3781
"2021-06-13","BENGKULU","laki-laki",3828
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",15094
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",15439
"2021-04-07","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",16356
"2021-04-12","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",16774
"2021-04-15","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17098
"2021-04-16","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17199
"2021-04-17","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17269
"2021-04-18","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17328
"2021-04-19","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17400
"2021-04-20","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17486
"2021-04-21","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17601
"2021-04-22","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17708
"2021-04-23","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17766
"2021-04-24","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17837
"2021-04-25","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17942
"2021-04-26","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18022
"2021-04-27","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18089
"2021-04-30","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18485
"2021-05-01","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18545
"2021-05-02","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18628
"2021-05-04","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18764
"2021-05-06","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",18979
"2021-05-08","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",19137
"2021-05-10","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",19268
"2021-05-13","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",19499
"2021-05-14","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",19549
"2021-05-16","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",19671
"2021-05-19","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",19898
"2021-05-25","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",20425
"2021-05-26","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",20514
"2021-05-29","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",20791
"2021-05-31","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",20949
"2021-06-02","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",21181
"2021-06-10","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",22208
"2021-06-12","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",22640
"2021-06-13","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",22911
"2021-03-24","DKI JAKARTA","laki-laki",184828
"2021-03-28","DKI JAKARTA","laki-laki",187742
"2021-04-07","DKI JAKARTA","laki-laki",191981
"2021-04-12","DKI JAKARTA","laki-laki",194377
"2021-04-15","DKI JAKARTA","laki-laki",195793
"2021-04-16","DKI JAKARTA","laki-laki",196293
"2021-04-17","DKI JAKARTA","laki-laki",196805
"2021-04-18","DKI JAKARTA","laki-laki",197269
"2021-04-19","DKI JAKARTA","laki-laki",197747
"2021-04-20","DKI JAKARTA","laki-laki",197948
"2021-04-21","DKI JAKARTA","laki-laki",198265
"2021-04-22","DKI JAKARTA","laki-laki",198946
"2021-04-23","DKI JAKARTA","laki-laki",199407
"2021-04-24","DKI JAKARTA","laki-laki",199868
"2021-04-25","DKI JAKARTA","laki-laki",200288
"2021-04-26","DKI JAKARTA","laki-laki",200651
"2021-04-27","DKI JAKARTA","laki-laki",200833
"2021-04-30","DKI JAKARTA","laki-laki",202018
"2021-05-01","DKI JAKARTA","laki-laki",202454
"2021-05-02","DKI JAKARTA","laki-laki",202878
"2021-05-04","DKI JAKARTA","laki-laki",203404
"2021-05-06","DKI JAKARTA","laki-laki",204246
"2021-05-08","DKI JAKARTA","laki-laki",204991
"2021-05-10","DKI JAKARTA","laki-laki",205716
"2021-05-13","DKI JAKARTA","laki-laki",206622
"2021-05-14","DKI JAKARTA","laki-laki",206958
"2021-05-16","DKI JAKARTA","laki-laki",207136
"2021-05-19","DKI JAKARTA","laki-laki",207752
"2021-05-25","DKI JAKARTA","laki-laki",210123
"2021-05-26","DKI JAKARTA","laki-laki",210426
"2021-05-29","DKI JAKARTA","laki-laki",211651
"2021-05-31","DKI JAKARTA","laki-laki",212557
"2021-06-02","DKI JAKARTA","laki-laki",213113
"2021-06-10","DKI JAKARTA","laki-laki",217478
"2021-06-12","DKI JAKARTA","laki-laki",219763
"2021-06-13","DKI JAKARTA","laki-laki",221071
"2021-03-24","GORONTALO","laki-laki",2469
"2021-03-28","GORONTALO","laki-laki",2485
"2021-04-07","GORONTALO","laki-laki",2541
"2021-04-12","GORONTALO","laki-laki",2555
"2021-04-15","GORONTALO","laki-laki",2576
"2021-04-16","GORONTALO","laki-laki",2581
"2021-04-17","GORONTALO","laki-laki",2586
"2021-04-18","GORONTALO","laki-laki",2590
"2021-04-19","GORONTALO","laki-laki",2590
"2021-04-20","GORONTALO","laki-laki",2594
"2021-04-21","GORONTALO","laki-laki",2594
"2021-04-22","GORONTALO","laki-laki",2595
"2021-04-23","GORONTALO","laki-laki",2596
"2021-04-24","GORONTALO","laki-laki",2597
"2021-04-25","GORONTALO","laki-laki",2597
"2021-04-26","GORONTALO","laki-laki",2600
"2021-04-27","GORONTALO","laki-laki",2600
"2021-04-30","GORONTALO","laki-laki",2618
"2021-05-01","GORONTALO","laki-laki",2621
"2021-05-02","GORONTALO","laki-laki",2621
"2021-05-04","GORONTALO","laki-laki",2625
"2021-05-06","GORONTALO","laki-laki",2632
"2021-05-08","GORONTALO","laki-laki",2634
"2021-05-10","GORONTALO","laki-laki",2634
"2021-05-13","GORONTALO","laki-laki",2639
"2021-05-14","GORONTALO","laki-laki",2640
"2021-05-16","GORONTALO","laki-laki",2641
"2021-05-19","GORONTALO","laki-laki",2646
"2021-05-25","GORONTALO","laki-laki",2656
"2021-05-26","GORONTALO","laki-laki",2657
"2021-05-29","GORONTALO","laki-laki",2665
"2021-05-31","GORONTALO","laki-laki",2670
"2021-06-02","GORONTALO","laki-laki",2672
"2021-06-10","GORONTALO","laki-laki",2690
"2021-06-12","GORONTALO","laki-laki",2695
"2021-06-13","GORONTALO","laki-laki",2698
"2021-03-24","JAMBI","laki-laki",1971
"2021-03-28","JAMBI","laki-laki",2063
"2021-04-07","JAMBI","laki-laki",2254
"2021-04-12","JAMBI","laki-laki",2322
"2021-04-15","JAMBI","laki-laki",2385
"2021-04-16","JAMBI","laki-laki",2408
"2021-04-17","JAMBI","laki-laki",2440
"2021-04-18","JAMBI","laki-laki",2464
"2021-04-19","JAMBI","laki-laki",2477
"2021-04-20","JAMBI","laki-laki",2517
"2021-04-21","JAMBI","laki-laki",2535
"2021-04-22","JAMBI","laki-laki",2573
"2021-04-23","JAMBI","laki-laki",2594
"2021-04-24","JAMBI","laki-laki",2628
"2021-04-25","JAMBI","laki-laki",2638
"2021-04-26","JAMBI","laki-laki",2659
"2021-04-27","JAMBI","laki-laki",2671
"2021-04-30","JAMBI","laki-laki",2792
"2021-05-01","JAMBI","laki-laki",2817
"2021-05-02","JAMBI","laki-laki",2852
"2021-05-04","JAMBI","laki-laki",2914
"2021-05-06","JAMBI","laki-laki",3013
"2021-05-08","JAMBI","laki-laki",3090
"2021-05-10","JAMBI","laki-laki",3160
"2021-05-13","JAMBI","laki-laki",3221
"2021-05-14","JAMBI","laki-laki",3240
"2021-05-16","JAMBI","laki-laki",3247
"2021-05-19","JAMBI","laki-laki",3278
"2021-05-25","JAMBI","laki-laki",3473
"2021-05-26","JAMBI","laki-laki",3509
"2021-05-29","JAMBI","laki-laki",3612
"2021-05-31","JAMBI","laki-laki",3704
"2021-06-02","JAMBI","laki-laki",3784
"2021-06-10","JAMBI","laki-laki",4200
"2021-06-12","JAMBI","laki-laki",4323
"2021-06-13","JAMBI","laki-laki",4395
"2021-03-24","JAWA BARAT","laki-laki",115228
"2021-03-28","JAWA BARAT","laki-laki",116650
"2021-04-07","JAWA BARAT","laki-laki",120507
"2021-04-12","JAWA BARAT","laki-laki",122708
"2021-04-15","JAWA BARAT","laki-laki",124720
"2021-04-16","JAWA BARAT","laki-laki",125235
"2021-04-17","JAWA BARAT","laki-laki",125670
"2021-04-18","JAWA BARAT","laki-laki",126022
"2021-04-19","JAWA BARAT","laki-laki",126709
"2021-04-20","JAWA BARAT","laki-laki",127393
"2021-04-21","JAWA BARAT","laki-laki",127846
"2021-04-22","JAWA BARAT","laki-laki",128516
"2021-04-23","JAWA BARAT","laki-laki",129077
"2021-04-24","JAWA BARAT","laki-laki",129352
"2021-04-25","JAWA BARAT","laki-laki",129711
"2021-04-26","JAWA BARAT","laki-laki",130575
"2021-04-27","JAWA BARAT","laki-laki",131151
"2021-04-30","JAWA BARAT","laki-laki",132783
"2021-05-01","JAWA BARAT","laki-laki",133162
"2021-05-02","JAWA BARAT","laki-laki",133472
"2021-05-04","JAWA BARAT","laki-laki",134437
"2021-05-06","JAWA BARAT","laki-laki",135353
"2021-05-08","JAWA BARAT","laki-laki",137197
"2021-05-10","JAWA BARAT","laki-laki",137950
"2021-05-13","JAWA BARAT","laki-laki",139136
"2021-05-14","JAWA BARAT","laki-laki",139403
"2021-05-16","JAWA BARAT","laki-laki",140103
"2021-05-19","JAWA BARAT","laki-laki",141846
"2021-05-25","JAWA BARAT","laki-laki",145042
"2021-05-26","JAWA BARAT","laki-laki",145339
"2021-05-29","JAWA BARAT","laki-laki",146923
"2021-05-31","JAWA BARAT","laki-laki",147809
"2021-06-02","JAWA BARAT","laki-laki",148614
"2021-06-10","JAWA BARAT","laki-laki",152959
"2021-06-12","JAWA BARAT","laki-laki",153927
"2021-06-13","JAWA BARAT","laki-laki",154480
"2021-03-24","JAWA TENGAH","laki-laki",67141
"2021-03-28","JAWA TENGAH","laki-laki",67595
"2021-04-07","JAWA TENGAH","laki-laki",69618
"2021-04-12","JAWA TENGAH","laki-laki",70749
"2021-04-15","JAWA TENGAH","laki-laki",71832
"2021-04-16","JAWA TENGAH","laki-laki",72130
"2021-04-17","JAWA TENGAH","laki-laki",72372
"2021-04-18","JAWA TENGAH","laki-laki",72549
"2021-04-19","JAWA TENGAH","laki-laki",72860
"2021-04-20","JAWA TENGAH","laki-laki",73182
"2021-04-21","JAWA TENGAH","laki-laki",73464
"2021-04-22","JAWA TENGAH","laki-laki",73745
"2021-04-23","JAWA TENGAH","laki-laki",73912
"2021-04-24","JAWA TENGAH","laki-laki",74060
"2021-04-25","JAWA TENGAH","laki-laki",74160
"2021-04-26","JAWA TENGAH","laki-laki",74444
"2021-04-27","JAWA TENGAH","laki-laki",74622
"2021-04-30","JAWA TENGAH","laki-laki",75164
"2021-05-01","JAWA TENGAH","laki-laki",75246
"2021-05-02","JAWA TENGAH","laki-laki",75317
"2021-05-04","JAWA TENGAH","laki-laki",75708
"2021-05-06","JAWA TENGAH","laki-laki",76076
"2021-05-08","JAWA TENGAH","laki-laki",76384
"2021-05-10","JAWA TENGAH","laki-laki",76831
"2021-05-13","JAWA TENGAH","laki-laki",77379
"2021-05-14","JAWA TENGAH","laki-laki",77474
"2021-05-16","JAWA TENGAH","laki-laki",77725
"2021-05-19","JAWA TENGAH","laki-laki",78504
"2021-05-25","JAWA TENGAH","laki-laki",80250
"2021-05-26","JAWA TENGAH","laki-laki",80479
"2021-05-29","JAWA TENGAH","laki-laki",81657
"2021-05-31","JAWA TENGAH","laki-laki",82532
"2021-06-02","JAWA TENGAH","laki-laki",83239
"2021-06-10","JAWA TENGAH","laki-laki",87675
"2021-06-12","JAWA TENGAH","laki-laki",88596
"2021-06-13","JAWA TENGAH","laki-laki",89694
"2021-03-24","JAWA TIMUR","laki-laki",63893
"2021-03-28","JAWA TIMUR","laki-laki",64437
"2021-04-07","JAWA TIMUR","laki-laki",65673
"2021-04-12","JAWA TIMUR","laki-laki",66312
"2021-04-15","JAWA TIMUR","laki-laki",66665
"2021-04-16","JAWA TIMUR","laki-laki",66804
"2021-04-17","JAWA TIMUR","laki-laki",66923
"2021-04-18","JAWA TIMUR","laki-laki",67034
"2021-04-19","JAWA TIMUR","laki-laki",67161
"2021-04-20","JAWA TIMUR","laki-laki",67271
"2021-04-21","JAWA TIMUR","laki-laki",67406
"2021-04-22","JAWA TIMUR","laki-laki",67524
"2021-04-23","JAWA TIMUR","laki-laki",67672
"2021-04-24","JAWA TIMUR","laki-laki",67789
"2021-04-25","JAWA TIMUR","laki-laki",67890
"2021-04-26","JAWA TIMUR","laki-laki",68006
"2021-04-27","JAWA TIMUR","laki-laki",68124
"2021-04-30","JAWA TIMUR","laki-laki",68555
"2021-05-01","JAWA TIMUR","laki-laki",68663
"2021-05-02","JAWA TIMUR","laki-laki",68763
"2021-05-04","JAWA TIMUR","laki-laki",68988
"2021-05-06","JAWA TIMUR","laki-laki",69235
"2021-05-08","JAWA TIMUR","laki-laki",69446
"2021-05-10","JAWA TIMUR","laki-laki",69656
"2021-05-13","JAWA TIMUR","laki-laki",69948
"2021-05-14","JAWA TIMUR","laki-laki",70014
"2021-05-16","JAWA TIMUR","laki-laki",70177
"2021-05-19","JAWA TIMUR","laki-laki",70512
"2021-05-25","JAWA TIMUR","laki-laki",71147
"2021-05-26","JAWA TIMUR","laki-laki",71276
"2021-05-29","JAWA TIMUR","laki-laki",71604
"2021-05-31","JAWA TIMUR","laki-laki",71809
"2021-06-02","JAWA TIMUR","laki-laki",72007
"2021-06-10","JAWA TIMUR","laki-laki",73151
"2021-06-12","JAWA TIMUR","laki-laki",73496
"2021-06-13","JAWA TIMUR","laki-laki",73689
"2021-03-24","KALIMANTAN BARAT","laki-laki",2896
"2021-03-28","KALIMANTAN BARAT","laki-laki",2977
"2021-04-07","KALIMANTAN BARAT","laki-laki",3134
"2021-04-12","KALIMANTAN BARAT","laki-laki",3271
"2021-04-15","KALIMANTAN BARAT","laki-laki",3408
"2021-04-16","KALIMANTAN BARAT","laki-laki",3454
"2021-04-17","KALIMANTAN BARAT","laki-laki",3502
"2021-04-18","KALIMANTAN BARAT","laki-laki",3537
"2021-04-19","KALIMANTAN BARAT","laki-laki",3537
"2021-04-20","KALIMANTAN BARAT","laki-laki",3575
"2021-04-21","KALIMANTAN BARAT","laki-laki",3633
"2021-04-22","KALIMANTAN BARAT","laki-laki",3687
"2021-04-23","KALIMANTAN BARAT","laki-laki",3722
"2021-04-24","KALIMANTAN BARAT","laki-laki",3767
"2021-04-25","KALIMANTAN BARAT","laki-laki",3781
"2021-04-26","KALIMANTAN BARAT","laki-laki",3781
"2021-04-27","KALIMANTAN BARAT","laki-laki",3809
"2021-04-30","KALIMANTAN BARAT","laki-laki",3918
"2021-05-01","KALIMANTAN BARAT","laki-laki",3958
"2021-05-02","KALIMANTAN BARAT","laki-laki",4001
"2021-05-04","KALIMANTAN BARAT","laki-laki",4053
"2021-05-06","KALIMANTAN BARAT","laki-laki",4161
"2021-05-08","KALIMANTAN BARAT","laki-laki",4247
"2021-05-10","KALIMANTAN BARAT","laki-laki",4332
"2021-05-13","KALIMANTAN BARAT","laki-laki",4500
