"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-06-02","BENGKULU","0-5",173
"2021-06-10","BENGKULU","0-5",177
"2021-06-12","BENGKULU","0-5",182
"2021-06-13","BENGKULU","0-5",186
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","0-5",1086
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","0-5",1123
"2021-04-07","DAERAH ISTIMEWA YOGYAKARTA","0-5",1198
"2021-04-12","DAERAH ISTIMEWA YOGYAKARTA","0-5",1247
"2021-04-15","DAERAH ISTIMEWA YOGYAKARTA","0-5",1279
"2021-04-16","DAERAH ISTIMEWA YOGYAKARTA","0-5",1289
"2021-04-17","DAERAH ISTIMEWA YOGYAKARTA","0-5",1297
"2021-04-18","DAERAH ISTIMEWA YOGYAKARTA","0-5",1302
"2021-04-19","DAERAH ISTIMEWA YOGYAKARTA","0-5",1311
"2021-04-20","DAERAH ISTIMEWA YOGYAKARTA","0-5",1321
"2021-04-21","DAERAH ISTIMEWA YOGYAKARTA","0-5",1329
"2021-04-22","DAERAH ISTIMEWA YOGYAKARTA","0-5",1341
"2021-04-23","DAERAH ISTIMEWA YOGYAKARTA","0-5",1348
"2021-04-24","DAERAH ISTIMEWA YOGYAKARTA","0-5",1351
"2021-04-25","DAERAH ISTIMEWA YOGYAKARTA","0-5",1360
"2021-04-26","DAERAH ISTIMEWA YOGYAKARTA","0-5",1370
"2021-04-27","DAERAH ISTIMEWA YOGYAKARTA","0-5",1371
"2021-04-30","DAERAH ISTIMEWA YOGYAKARTA","0-5",1405
"2021-05-01","DAERAH ISTIMEWA YOGYAKARTA","0-5",1411
"2021-05-02","DAERAH ISTIMEWA YOGYAKARTA","0-5",1420
"2021-05-04","DAERAH ISTIMEWA YOGYAKARTA","0-5",1438
"2021-05-06","DAERAH ISTIMEWA YOGYAKARTA","0-5",1458
"2021-05-08","DAERAH ISTIMEWA YOGYAKARTA","0-5",1466
"2021-05-10","DAERAH ISTIMEWA YOGYAKARTA","0-5",1471
"2021-05-13","DAERAH ISTIMEWA YOGYAKARTA","0-5",1489
"2021-05-14","DAERAH ISTIMEWA YOGYAKARTA","0-5",1492
"2021-05-16","DAERAH ISTIMEWA YOGYAKARTA","0-5",1500
"2021-05-19","DAERAH ISTIMEWA YOGYAKARTA","0-5",1524
"2021-05-25","DAERAH ISTIMEWA YOGYAKARTA","0-5",1569
"2021-05-26","DAERAH ISTIMEWA YOGYAKARTA","0-5",1577
"2021-05-29","DAERAH ISTIMEWA YOGYAKARTA","0-5",1601
"2021-05-31","DAERAH ISTIMEWA YOGYAKARTA","0-5",1614
"2021-06-02","DAERAH ISTIMEWA YOGYAKARTA","0-5",1628
"2021-06-10","DAERAH ISTIMEWA YOGYAKARTA","0-5",1727
"2021-06-12","DAERAH ISTIMEWA YOGYAKARTA","0-5",1776
"2021-06-13","DAERAH ISTIMEWA YOGYAKARTA","0-5",1796
"2021-03-24","DKI JAKARTA","0-5",11378
"2021-03-28","DKI JAKARTA","0-5",11618
"2021-04-07","DKI JAKARTA","0-5",11929
"2021-04-12","DKI JAKARTA","0-5",12098
"2021-04-15","DKI JAKARTA","0-5",12192
"2021-04-16","DKI JAKARTA","0-5",12233
"2021-04-17","DKI JAKARTA","0-5",12266
"2021-04-18","DKI JAKARTA","0-5",12295
"2021-04-19","DKI JAKARTA","0-5",12322
"2021-04-20","DKI JAKARTA","0-5",12343
"2021-04-21","DKI JAKARTA","0-5",12358
"2021-04-22","DKI JAKARTA","0-5",12387
"2021-04-23","DKI JAKARTA","0-5",12409
"2021-04-24","DKI JAKARTA","0-5",12431
"2021-04-25","DKI JAKARTA","0-5",12471
"2021-04-26","DKI JAKARTA","0-5",12487
"2021-04-27","DKI JAKARTA","0-5",12497
"2021-04-30","DKI JAKARTA","0-5",12566
"2021-05-01","DKI JAKARTA","0-5",12601
"2021-05-02","DKI JAKARTA","0-5",12623
"2021-05-04","DKI JAKARTA","0-5",12676
"2021-05-06","DKI JAKARTA","0-5",12748
"2021-05-08","DKI JAKARTA","0-5",12824
"2021-05-10","DKI JAKARTA","0-5",12861
"2021-05-13","DKI JAKARTA","0-5",12945
"2021-05-14","DKI JAKARTA","0-5",12969
"2021-05-16","DKI JAKARTA","0-5",12984
"2021-05-19","DKI JAKARTA","0-5",13028
"2021-05-25","DKI JAKARTA","0-5",13163
"2021-05-26","DKI JAKARTA","0-5",13180
"2021-05-29","DKI JAKARTA","0-5",13259
"2021-05-31","DKI JAKARTA","0-5",13321
"2021-06-02","DKI JAKARTA","0-5",13360
"2021-06-10","DKI JAKARTA","0-5",13693
"2021-06-12","DKI JAKARTA","0-5",13905
"2021-06-13","DKI JAKARTA","0-5",14001
"2021-03-24","GORONTALO","0-5",84
"2021-03-28","GORONTALO","0-5",84
"2021-04-07","GORONTALO","0-5",86
"2021-04-12","GORONTALO","0-5",86
"2021-04-15","GORONTALO","0-5",89
"2021-04-16","GORONTALO","0-5",89
"2021-04-17","GORONTALO","0-5",89
"2021-04-18","GORONTALO","0-5",89
"2021-04-19","GORONTALO","0-5",89
"2021-04-20","GORONTALO","0-5",91
"2021-04-21","GORONTALO","0-5",91
"2021-04-22","GORONTALO","0-5",91
"2021-04-23","GORONTALO","0-5",91
"2021-04-24","GORONTALO","0-5",91
"2021-04-25","GORONTALO","0-5",91
"2021-04-26","GORONTALO","0-5",91
"2021-04-27","GORONTALO","0-5",91
"2021-04-30","GORONTALO","0-5",92
"2021-05-01","GORONTALO","0-5",92
"2021-05-02","GORONTALO","0-5",92
"2021-05-04","GORONTALO","0-5",92
"2021-05-06","GORONTALO","0-5",92
"2021-05-08","GORONTALO","0-5",92
"2021-05-10","GORONTALO","0-5",92
"2021-05-13","GORONTALO","0-5",92
"2021-05-14","GORONTALO","0-5",92
"2021-05-16","GORONTALO","0-5",92
"2021-05-19","GORONTALO","0-5",92
"2021-05-25","GORONTALO","0-5",92
"2021-05-26","GORONTALO","0-5",92
"2021-05-29","GORONTALO","0-5",92
"2021-05-31","GORONTALO","0-5",92
"2021-06-02","GORONTALO","0-5",92
"2021-06-10","GORONTALO","0-5",93
"2021-06-12","GORONTALO","0-5",95
"2021-06-13","GORONTALO","0-5",95
"2021-03-24","JAMBI","0-5",176
"2021-03-28","JAMBI","0-5",180
"2021-04-07","JAMBI","0-5",197
"2021-04-12","JAMBI","0-5",199
"2021-04-15","JAMBI","0-5",202
"2021-04-16","JAMBI","0-5",203
"2021-04-17","JAMBI","0-5",204
"2021-04-18","JAMBI","0-5",208
"2021-04-19","JAMBI","0-5",208
"2021-04-20","JAMBI","0-5",211
"2021-04-21","JAMBI","0-5",212
"2021-04-22","JAMBI","0-5",213
"2021-04-23","JAMBI","0-5",213
"2021-04-24","JAMBI","0-5",213
"2021-04-25","JAMBI","0-5",213
"2021-04-26","JAMBI","0-5",214
"2021-04-27","JAMBI","0-5",215
"2021-04-30","JAMBI","0-5",217
"2021-05-01","JAMBI","0-5",219
"2021-05-02","JAMBI","0-5",224
"2021-05-04","JAMBI","0-5",227
"2021-05-06","JAMBI","0-5",232
"2021-05-08","JAMBI","0-5",240
"2021-05-10","JAMBI","0-5",243
"2021-05-13","JAMBI","0-5",245
"2021-05-14","JAMBI","0-5",246
"2021-05-16","JAMBI","0-5",246
"2021-05-19","JAMBI","0-5",250
"2021-05-25","JAMBI","0-5",259
"2021-05-26","JAMBI","0-5",263
"2021-05-29","JAMBI","0-5",268
"2021-05-31","JAMBI","0-5",272
"2021-06-02","JAMBI","0-5",282
"2021-06-10","JAMBI","0-5",311
"2021-06-12","JAMBI","0-5",315
"2021-06-13","JAMBI","0-5",318
"2021-03-24","JAWA BARAT","0-5",8089
"2021-03-28","JAWA BARAT","0-5",8195
"2021-04-07","JAWA BARAT","0-5",8444
"2021-04-12","JAWA BARAT","0-5",8645
