"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-04-23","SUMATERA SELATAN","6-18",1557
"2021-04-24","SUMATERA SELATAN","6-18",1565
"2021-04-25","SUMATERA SELATAN","6-18",1583
"2021-04-26","SUMATERA SELATAN","6-18",1592
"2021-04-27","SUMATERA SELATAN","6-18",1601
"2021-04-30","SUMATERA SELATAN","6-18",1624
"2021-05-01","SUMATERA SELATAN","6-18",1635
"2021-05-02","SUMATERA SELATAN","6-18",1644
"2021-05-04","SUMATERA SELATAN","6-18",1664
"2021-05-06","SUMATERA SELATAN","6-18",1681
"2021-05-08","SUMATERA SELATAN","6-18",1716
"2021-05-10","SUMATERA SELATAN","6-18",1732
"2021-05-13","SUMATERA SELATAN","6-18",1760
"2021-05-14","SUMATERA SELATAN","6-18",1765
"2021-05-16","SUMATERA SELATAN","6-18",1773
"2021-05-19","SUMATERA SELATAN","6-18",1783
"2021-05-25","SUMATERA SELATAN","6-18",1861
"2021-05-26","SUMATERA SELATAN","6-18",1880
"2021-05-29","SUMATERA SELATAN","6-18",1933
"2021-05-31","SUMATERA SELATAN","6-18",1958
"2021-06-02","SUMATERA SELATAN","6-18",1993
"2021-06-10","SUMATERA SELATAN","6-18",2091
"2021-06-12","SUMATERA SELATAN","6-18",2109
"2021-06-13","SUMATERA SELATAN","6-18",2121
"2021-03-24","SUMATERA UTARA","6-18",2249
"2021-03-28","SUMATERA UTARA","6-18",2278
"2021-04-07","SUMATERA UTARA","6-18",2344
"2021-04-12","SUMATERA UTARA","6-18",2380
"2021-04-15","SUMATERA UTARA","6-18",2398
"2021-04-16","SUMATERA UTARA","6-18",2402
"2021-04-17","SUMATERA UTARA","6-18",2405
"2021-04-18","SUMATERA UTARA","6-18",2410
"2021-04-19","SUMATERA UTARA","6-18",2411
"2021-04-20","SUMATERA UTARA","6-18",2414
"2021-04-21","SUMATERA UTARA","6-18",2419
"2021-04-22","SUMATERA UTARA","6-18",2429
"2021-04-23","SUMATERA UTARA","6-18",2438
"2021-04-24","SUMATERA UTARA","6-18",2443
"2021-04-25","SUMATERA UTARA","6-18",2448
"2021-04-26","SUMATERA UTARA","6-18",2450
"2021-04-27","SUMATERA UTARA","6-18",2456
"2021-04-30","SUMATERA UTARA","6-18",2466
"2021-05-01","SUMATERA UTARA","6-18",2469
"2021-05-02","SUMATERA UTARA","6-18",2473
"2021-05-04","SUMATERA UTARA","6-18",2485
"2021-05-06","SUMATERA UTARA","6-18",2500
"2021-05-08","SUMATERA UTARA","6-18",2508
"2021-05-10","SUMATERA UTARA","6-18",2525
"2021-05-13","SUMATERA UTARA","6-18",2549
"2021-05-14","SUMATERA UTARA","6-18",2563
"2021-05-16","SUMATERA UTARA","6-18",2573
"2021-05-19","SUMATERA UTARA","6-18",2608
"2021-05-25","SUMATERA UTARA","6-18",2654
"2021-05-26","SUMATERA UTARA","6-18",2658
"2021-05-29","SUMATERA UTARA","6-18",2686
"2021-05-31","SUMATERA UTARA","6-18",2693
"2021-06-02","SUMATERA UTARA","6-18",2711
"2021-06-10","SUMATERA UTARA","6-18",2792
"2021-06-12","SUMATERA UTARA","6-18",2812
"2021-06-13","SUMATERA UTARA","6-18",2820
"2021-03-24","ACEH","19-30",2301
"2021-03-28","ACEH","19-30",2312
"2021-04-07","ACEH","19-30",2332
"2021-04-12","ACEH","19-30",2358
"2021-04-15","ACEH","19-30",2376
"2021-04-16","ACEH","19-30",2377
"2021-04-17","ACEH","19-30",2380
"2021-04-18","ACEH","19-30",2391
"2021-04-19","ACEH","19-30",2391
"2021-04-20","ACEH","19-30",2401
"2021-04-21","ACEH","19-30",2417
"2021-04-22","ACEH","19-30",2440
"2021-04-23","ACEH","19-30",2464
"2021-04-24","ACEH","19-30",2469
"2021-04-25","ACEH","19-30",2475
"2021-04-26","ACEH","19-30",2491
"2021-04-27","ACEH","19-30",2503
"2021-04-30","ACEH","19-30",2541
"2021-05-01","ACEH","19-30",2573
"2021-05-02","ACEH","19-30",2579
"2021-05-04","ACEH","19-30",2612
"2021-05-06","ACEH","19-30",2651
"2021-05-08","ACEH","19-30",2701
"2021-05-10","ACEH","19-30",2715
"2021-05-13","ACEH","19-30",2768
"2021-05-14","ACEH","19-30",2769
"2021-05-16","ACEH","19-30",2785
"2021-05-19","ACEH","19-30",2834
"2021-05-25","ACEH","19-30",3021
"2021-05-26","ACEH","19-30",3075
"2021-05-29","ACEH","19-30",3231
"2021-05-31","ACEH","19-30",3307
"2021-06-02","ACEH","19-30",3356
"2021-06-10","ACEH","19-30",3691
"2021-06-12","ACEH","19-30",3767
"2021-06-13","ACEH","19-30",3801
"2021-03-24","BALI","19-30",9335
"2021-03-28","BALI","19-30",9480
"2021-04-07","BALI","19-30",9841
"2021-04-12","BALI","19-30",10044
"2021-04-15","BALI","19-30",10130
"2021-04-16","BALI","19-30",10182
"2021-04-17","BALI","19-30",10216
"2021-04-18","BALI","19-30",10242
"2021-04-19","BALI","19-30",10280
"2021-04-20","BALI","19-30",10332
"2021-04-21","BALI","19-30",10379
"2021-04-22","BALI","19-30",10418
"2021-04-23","BALI","19-30",10439
"2021-04-24","BALI","19-30",10470
"2021-04-25","BALI","19-30",10479
"2021-04-26","BALI","19-30",10497
"2021-04-27","BALI","19-30",10520
"2021-04-30","BALI","19-30",10610
"2021-05-01","BALI","19-30",10642
"2021-05-02","BALI","19-30",10655
"2021-05-04","BALI","19-30",10720
"2021-05-06","BALI","19-30",10782
"2021-05-08","BALI","19-30",10833
"2021-05-10","BALI","19-30",10873
"2021-05-13","BALI","19-30",10933
"2021-05-14","BALI","19-30",10951
"2021-05-16","BALI","19-30",10970
"2021-05-19","BALI","19-30",11021
"2021-05-25","BALI","19-30",11111
"2021-05-26","BALI","19-30",11117
"2021-05-29","BALI","19-30",11152
"2021-05-31","BALI","19-30",11167
"2021-06-02","BALI","19-30",11182
"2021-06-10","BALI","19-30",11257
"2021-06-12","BALI","19-30",11268
"2021-06-13","BALI","19-30",11282
"2021-03-24","BANTEN","19-30",8906
"2021-03-28","BANTEN","19-30",9047
"2021-04-07","BANTEN","19-30",10905
"2021-04-12","BANTEN","19-30",11127
"2021-04-15","BANTEN","19-30",11198
"2021-04-16","BANTEN","19-30",11232
"2021-04-17","BANTEN","19-30",11256
"2021-04-18","BANTEN","19-30",11268
"2021-04-19","BANTEN","19-30",11290
"2021-04-20","BANTEN","19-30",11315
"2021-04-21","BANTEN","19-30",11334
"2021-04-22","BANTEN","19-30",11364
"2021-04-23","BANTEN","19-30",11408
"2021-04-24","BANTEN","19-30",11429
"2021-04-25","BANTEN","19-30",11447
"2021-04-26","BANTEN","19-30",11497
"2021-04-27","BANTEN","19-30",11555
"2021-04-30","BANTEN","19-30",11619
"2021-05-01","BANTEN","19-30",11634
"2021-05-02","BANTEN","19-30",11647
"2021-05-04","BANTEN","19-30",11704
"2021-05-06","BANTEN","19-30",11741
"2021-05-08","BANTEN","19-30",11766
"2021-05-10","BANTEN","19-30",11803
"2021-05-13","BANTEN","19-30",11843
"2021-05-14","BANTEN","19-30",11856
"2021-05-16","BANTEN","19-30",11875
"2021-05-19","BANTEN","19-30",11909
"2021-05-25","BANTEN","19-30",12005
"2021-05-26","BANTEN","19-30",12016
"2021-05-29","BANTEN","19-30",12099
"2021-05-31","BANTEN","19-30",12148
"2021-06-02","BANTEN","19-30",12194
"2021-06-10","BANTEN","19-30",12424
"2021-06-12","BANTEN","19-30",12555
"2021-06-13","BANTEN","19-30",12593
"2021-03-24","BENGKULU","19-30",1247
"2021-03-28","BENGKULU","19-30",1258
"2021-04-07","BENGKULU","19-30",1317
"2021-04-12","BENGKULU","19-30",1346
"2021-04-15","BENGKULU","19-30",1360
"2021-04-16","BENGKULU","19-30",1374
"2021-04-17","BENGKULU","19-30",1391
"2021-04-18","BENGKULU","19-30",1412
"2021-04-19","BENGKULU","19-30",1418
"2021-04-20","BENGKULU","19-30",1427
"2021-04-21","BENGKULU","19-30",1439
"2021-04-22","BENGKULU","19-30",1446
"2021-04-23","BENGKULU","19-30",1470
"2021-04-24","BENGKULU","19-30",1476
"2021-04-25","BENGKULU","19-30",1497
"2021-04-26","BENGKULU","19-30",1512
"2021-04-27","BENGKULU","19-30",1529
"2021-04-30","BENGKULU","19-30",1559
"2021-05-01","BENGKULU","19-30",1580
"2021-05-02","BENGKULU","19-30",1599
"2021-05-04","BENGKULU","19-30",1609
"2021-05-06","BENGKULU","19-30",1632
"2021-05-08","BENGKULU","19-30",1657
"2021-05-10","BENGKULU","19-30",1675
"2021-05-13","BENGKULU","19-30",1696
"2021-05-14","BENGKULU","19-30",1704
"2021-05-16","BENGKULU","19-30",1706
"2021-05-19","BENGKULU","19-30",1719
"2021-05-25","BENGKULU","19-30",1812
"2021-05-26","BENGKULU","19-30",1820
"2021-05-29","BENGKULU","19-30",1862
"2021-05-31","BENGKULU","19-30",1882
"2021-06-02","BENGKULU","19-30",1892
"2021-06-10","BENGKULU","19-30",1968
"2021-06-12","BENGKULU","19-30",1999
"2021-06-13","BENGKULU","19-30",2024
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","19-30",7171
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","19-30",7331
"2021-04-07","DAERAH ISTIMEWA YOGYAKARTA","19-30",7743
"2021-04-12","DAERAH ISTIMEWA YOGYAKARTA","19-30",7941
"2021-04-15","DAERAH ISTIMEWA YOGYAKARTA","19-30",8106
"2021-04-16","DAERAH ISTIMEWA YOGYAKARTA","19-30",8141
"2021-04-17","DAERAH ISTIMEWA YOGYAKARTA","19-30",8174
"2021-04-18","DAERAH ISTIMEWA YOGYAKARTA","19-30",8197
"2021-04-19","DAERAH ISTIMEWA YOGYAKARTA","19-30",8225
"2021-04-20","DAERAH ISTIMEWA YOGYAKARTA","19-30",8268
"2021-04-21","DAERAH ISTIMEWA YOGYAKARTA","19-30",8320
"2021-04-22","DAERAH ISTIMEWA YOGYAKARTA","19-30",8383
"2021-04-23","DAERAH ISTIMEWA YOGYAKARTA","19-30",8400
"2021-04-24","DAERAH ISTIMEWA YOGYAKARTA","19-30",8431
"2021-04-25","DAERAH ISTIMEWA YOGYAKARTA","19-30",8485
"2021-04-26","DAERAH ISTIMEWA YOGYAKARTA","19-30",8515
"2021-04-27","DAERAH ISTIMEWA YOGYAKARTA","19-30",8547
"2021-04-30","DAERAH ISTIMEWA YOGYAKARTA","19-30",8721
"2021-05-01","DAERAH ISTIMEWA YOGYAKARTA","19-30",8739
"2021-05-02","DAERAH ISTIMEWA YOGYAKARTA","19-30",8777
"2021-05-04","DAERAH ISTIMEWA YOGYAKARTA","19-30",8830
"2021-05-06","DAERAH ISTIMEWA YOGYAKARTA","19-30",8931
"2021-05-08","DAERAH ISTIMEWA YOGYAKARTA","19-30",9008
"2021-05-10","DAERAH ISTIMEWA YOGYAKARTA","19-30",9060
"2021-05-13","DAERAH ISTIMEWA YOGYAKARTA","19-30",9147
"2021-05-14","DAERAH ISTIMEWA YOGYAKARTA","19-30",9161
"2021-05-16","DAERAH ISTIMEWA YOGYAKARTA","19-30",9195
"2021-05-19","DAERAH ISTIMEWA YOGYAKARTA","19-30",9307
"2021-05-25","DAERAH ISTIMEWA YOGYAKARTA","19-30",9546
"2021-05-26","DAERAH ISTIMEWA YOGYAKARTA","19-30",9585
"2021-05-29","DAERAH ISTIMEWA YOGYAKARTA","19-30",9689
"2021-05-31","DAERAH ISTIMEWA YOGYAKARTA","19-30",9753
"2021-06-02","DAERAH ISTIMEWA YOGYAKARTA","19-30",9870
"2021-06-10","DAERAH ISTIMEWA YOGYAKARTA","19-30",10375
"2021-06-12","DAERAH ISTIMEWA YOGYAKARTA","19-30",10585
"2021-06-13","DAERAH ISTIMEWA YOGYAKARTA","19-30",10715
"2021-03-24","DKI JAKARTA","19-30",94747
"2021-03-28","DKI JAKARTA","19-30",96300
"2021-04-07","DKI JAKARTA","19-30",98551
"2021-04-12","DKI JAKARTA","19-30",99828
"2021-04-15","DKI JAKARTA","19-30",100564
"2021-04-16","DKI JAKARTA","19-30",100793
"2021-04-17","DKI JAKARTA","19-30",101078
"2021-04-18","DKI JAKARTA","19-30",101331
"2021-04-19","DKI JAKARTA","19-30",101603
"2021-04-20","DKI JAKARTA","19-30",101719
"2021-04-21","DKI JAKARTA","19-30",101898
"2021-04-22","DKI JAKARTA","19-30",102335
"2021-04-23","DKI JAKARTA","19-30",102578
"2021-04-24","DKI JAKARTA","19-30",102821
"2021-04-25","DKI JAKARTA","19-30",103050
"2021-04-26","DKI JAKARTA","19-30",103247
"2021-04-27","DKI JAKARTA","19-30",103349
"2021-04-30","DKI JAKARTA","19-30",103998
"2021-05-01","DKI JAKARTA","19-30",104233
"2021-05-02","DKI JAKARTA","19-30",104469
"2021-05-04","DKI JAKARTA","19-30",104769
"2021-05-06","DKI JAKARTA","19-30",105229
"2021-05-08","DKI JAKARTA","19-30",105611
"2021-05-10","DKI JAKARTA","19-30",106040
"2021-05-13","DKI JAKARTA","19-30",106504
"2021-05-14","DKI JAKARTA","19-30",106690
"2021-05-16","DKI JAKARTA","19-30",106794
"2021-05-19","DKI JAKARTA","19-30",107119
"2021-05-25","DKI JAKARTA","19-30",108392
"2021-05-26","DKI JAKARTA","19-30",108568
"2021-05-29","DKI JAKARTA","19-30",109194
"2021-05-31","DKI JAKARTA","19-30",109640
"2021-06-02","DKI JAKARTA","19-30",109938
"2021-06-10","DKI JAKARTA","19-30",112657
"2021-06-12","DKI JAKARTA","19-30",114034
"2021-06-13","DKI JAKARTA","19-30",114843
"2021-03-24","GORONTALO","19-30",1632
"2021-03-28","GORONTALO","19-30",1649
"2021-04-07","GORONTALO","19-30",1678
"2021-04-12","GORONTALO","19-30",1688
"2021-04-15","GORONTALO","19-30",1694
"2021-04-16","GORONTALO","19-30",1694
"2021-04-17","GORONTALO","19-30",1696
"2021-04-18","GORONTALO","19-30",1700
"2021-04-19","GORONTALO","19-30",1700
"2021-04-20","GORONTALO","19-30",1702
"2021-04-21","GORONTALO","19-30",1702
"2021-04-22","GORONTALO","19-30",1705
"2021-04-23","GORONTALO","19-30",1705
"2021-04-24","GORONTALO","19-30",1706
"2021-04-25","GORONTALO","19-30",1706
"2021-04-26","GORONTALO","19-30",1707
"2021-04-27","GORONTALO","19-30",1707
"2021-04-30","GORONTALO","19-30",1717
"2021-05-01","GORONTALO","19-30",1719
"2021-05-02","GORONTALO","19-30",1719
"2021-05-04","GORONTALO","19-30",1720
"2021-05-06","GORONTALO","19-30",1724
"2021-05-08","GORONTALO","19-30",1724
"2021-05-10","GORONTALO","19-30",1724
"2021-05-13","GORONTALO","19-30",1725
"2021-05-14","GORONTALO","19-30",1725
"2021-05-16","GORONTALO","19-30",1725
"2021-05-19","GORONTALO","19-30",1729
"2021-05-25","GORONTALO","19-30",1740
"2021-05-26","GORONTALO","19-30",1740
"2021-05-29","GORONTALO","19-30",1743
"2021-05-31","GORONTALO","19-30",1749
"2021-06-02","GORONTALO","19-30",1750
"2021-06-10","GORONTALO","19-30",1757
"2021-06-12","GORONTALO","19-30",1758
"2021-06-13","GORONTALO","19-30",1759
"2021-03-24","JAMBI","19-30",1573
"2021-03-28","JAMBI","19-30",1609
"2021-04-07","JAMBI","19-30",1706
"2021-04-12","JAMBI","19-30",1739
"2021-04-15","JAMBI","19-30",1788
"2021-04-16","JAMBI","19-30",1799
"2021-04-17","JAMBI","19-30",1826
"2021-04-18","JAMBI","19-30",1839
"2021-04-19","JAMBI","19-30",1846
"2021-04-20","JAMBI","19-30",1866
"2021-04-21","JAMBI","19-30",1881
"2021-04-22","JAMBI","19-30",1890
"2021-04-23","JAMBI","19-30",1906
"2021-04-24","JAMBI","19-30",1919
"2021-04-25","JAMBI","19-30",1927
"2021-04-26","JAMBI","19-30",1932
"2021-04-27","JAMBI","19-30",1942
"2021-04-30","JAMBI","19-30",1981
"2021-05-01","JAMBI","19-30",1989
"2021-05-02","JAMBI","19-30",2012
"2021-05-04","JAMBI","19-30",2030
"2021-05-06","JAMBI","19-30",2073
"2021-05-08","JAMBI","19-30",2115
"2021-05-10","JAMBI","19-30",2149
"2021-05-13","JAMBI","19-30",2182
"2021-05-14","JAMBI","19-30",2196
"2021-05-16","JAMBI","19-30",2203
"2021-05-19","JAMBI","19-30",2219
"2021-05-25","JAMBI","19-30",2325
"2021-05-26","JAMBI","19-30",2342
"2021-05-29","JAMBI","19-30",2402
"2021-05-31","JAMBI","19-30",2453
"2021-06-02","JAMBI","19-30",2492
"2021-06-10","JAMBI","19-30",2717
"2021-06-12","JAMBI","19-30",2776
"2021-06-13","JAMBI","19-30",2812
"2021-03-24","JAWA BARAT","19-30",58587
"2021-03-28","JAWA BARAT","19-30",59277
"2021-04-07","JAWA BARAT","19-30",61264
"2021-04-12","JAWA BARAT","19-30",62356
"2021-04-15","JAWA BARAT","19-30",63410
"2021-04-16","JAWA BARAT","19-30",63625
"2021-04-17","JAWA BARAT","19-30",63800
"2021-04-18","JAWA BARAT","19-30",63990
"2021-04-19","JAWA BARAT","19-30",64322
"2021-04-20","JAWA BARAT","19-30",64678
"2021-04-21","JAWA BARAT","19-30",64928
"2021-04-22","JAWA BARAT","19-30",65272
"2021-04-23","JAWA BARAT","19-30",65519
"2021-04-24","JAWA BARAT","19-30",65698
"2021-04-25","JAWA BARAT","19-30",65840
"2021-04-26","JAWA BARAT","19-30",66243
"2021-04-27","JAWA BARAT","19-30",66477
"2021-04-30","JAWA BARAT","19-30",67261
"2021-05-01","JAWA BARAT","19-30",67427
"2021-05-02","JAWA BARAT","19-30",67584
"2021-05-04","JAWA BARAT","19-30",68038
"2021-05-06","JAWA BARAT","19-30",68482
"2021-05-08","JAWA BARAT","19-30",69491
"2021-05-10","JAWA BARAT","19-30",69868
"2021-05-13","JAWA BARAT","19-30",70479
"2021-05-14","JAWA BARAT","19-30",70632
"2021-05-16","JAWA BARAT","19-30",70943
"2021-05-19","JAWA BARAT","19-30",71750
"2021-05-25","JAWA BARAT","19-30",73306
"2021-05-26","JAWA BARAT","19-30",73450
"2021-05-29","JAWA BARAT","19-30",74221
"2021-05-31","JAWA BARAT","19-30",74669
"2021-06-02","JAWA BARAT","19-30",75078
"2021-06-10","JAWA BARAT","19-30",77374
"2021-06-12","JAWA BARAT","19-30",77891
"2021-06-13","JAWA BARAT","19-30",78175
"2021-03-24","JAWA TENGAH","19-30",38349
"2021-03-28","JAWA TENGAH","19-30",38559
"2021-04-07","JAWA TENGAH","19-30",39516
"2021-04-12","JAWA TENGAH","19-30",40108
"2021-04-15","JAWA TENGAH","19-30",40646
"2021-04-16","JAWA TENGAH","19-30",40789
"2021-04-17","JAWA TENGAH","19-30",40916
"2021-04-18","JAWA TENGAH","19-30",40961
"2021-04-19","JAWA TENGAH","19-30",41097
"2021-04-20","JAWA TENGAH","19-30",41246
"2021-04-21","JAWA TENGAH","19-30",41391
"2021-04-22","JAWA TENGAH","19-30",41525
"2021-04-23","JAWA TENGAH","19-30",41578
"2021-04-24","JAWA TENGAH","19-30",41640
"2021-04-25","JAWA TENGAH","19-30",41691
"2021-04-26","JAWA TENGAH","19-30",41819
"2021-04-27","JAWA TENGAH","19-30",41904
"2021-04-30","JAWA TENGAH","19-30",42094
"2021-05-01","JAWA TENGAH","19-30",42144
"2021-05-02","JAWA TENGAH","19-30",42180
"2021-05-04","JAWA TENGAH","19-30",42369
"2021-05-06","JAWA TENGAH","19-30",42557
"2021-05-08","JAWA TENGAH","19-30",42704
"2021-05-10","JAWA TENGAH","19-30",42926
"2021-05-13","JAWA TENGAH","19-30",43186
"2021-05-14","JAWA TENGAH","19-30",43215
"2021-05-16","JAWA TENGAH","19-30",43348
"2021-05-19","JAWA TENGAH","19-30",43675
"2021-05-25","JAWA TENGAH","19-30",44532
"2021-05-26","JAWA TENGAH","19-30",44695
"2021-05-29","JAWA TENGAH","19-30",45213
"2021-05-31","JAWA TENGAH","19-30",45655
"2021-06-02","JAWA TENGAH","19-30",46027
"2021-06-10","JAWA TENGAH","19-30",48345
"2021-06-12","JAWA TENGAH","19-30",48822
"2021-06-13","JAWA TENGAH","19-30",49375
"2021-03-24","JAWA TIMUR","19-30",26359
"2021-03-28","JAWA TIMUR","19-30",26572
"2021-04-07","JAWA TIMUR","19-30",26972
"2021-04-12","JAWA TIMUR","19-30",27158
"2021-04-15","JAWA TIMUR","19-30",27279
"2021-04-16","JAWA TIMUR","19-30",27321
"2021-04-17","JAWA TIMUR","19-30",27360
"2021-04-18","JAWA TIMUR","19-30",27403
"2021-04-19","JAWA TIMUR","19-30",27447
"2021-04-20","JAWA TIMUR","19-30",27484
"2021-04-21","JAWA TIMUR","19-30",27530
"2021-04-22","JAWA TIMUR","19-30",27579
"2021-04-23","JAWA TIMUR","19-30",27625
"2021-04-24","JAWA TIMUR","19-30",27664
"2021-04-25","JAWA TIMUR","19-30",27699
"2021-04-26","JAWA TIMUR","19-30",27744
"2021-04-27","JAWA TIMUR","19-30",27771
"2021-04-30","JAWA TIMUR","19-30",27898
"2021-05-01","JAWA TIMUR","19-30",27928
"2021-05-02","JAWA TIMUR","19-30",27957
"2021-05-04","JAWA TIMUR","19-30",28020
"2021-05-06","JAWA TIMUR","19-30",28111
"2021-05-08","JAWA TIMUR","19-30",28180
"2021-05-10","JAWA TIMUR","19-30",28254
"2021-05-13","JAWA TIMUR","19-30",28348
"2021-05-14","JAWA TIMUR","19-30",28375
"2021-05-16","JAWA TIMUR","19-30",28414
"2021-05-19","JAWA TIMUR","19-30",28508
"2021-05-25","JAWA TIMUR","19-30",28720
"2021-05-26","JAWA TIMUR","19-30",28766
"2021-05-29","JAWA TIMUR","19-30",28853
"2021-05-31","JAWA TIMUR","19-30",28943
"2021-06-02","JAWA TIMUR","19-30",29003
"2021-06-10","JAWA TIMUR","19-30",29428
"2021-06-12","JAWA TIMUR","19-30",29564
"2021-06-13","JAWA TIMUR","19-30",29645
"2021-03-24","KALIMANTAN BARAT","19-30",1441
"2021-03-28","KALIMANTAN BARAT","19-30",1483
"2021-04-07","KALIMANTAN BARAT","19-30",1583
"2021-04-12","KALIMANTAN BARAT","19-30",1643
"2021-04-15","KALIMANTAN BARAT","19-30",1709
"2021-04-16","KALIMANTAN BARAT","19-30",1734
"2021-04-17","KALIMANTAN BARAT","19-30",1767
"2021-04-18","KALIMANTAN BARAT","19-30",1782
"2021-04-19","KALIMANTAN BARAT","19-30",1782
"2021-04-20","KALIMANTAN BARAT","19-30",1794
"2021-04-21","KALIMANTAN BARAT","19-30",1823
"2021-04-22","KALIMANTAN BARAT","19-30",1851
"2021-04-23","KALIMANTAN BARAT","19-30",1871
"2021-04-24","KALIMANTAN BARAT","19-30",1902
"2021-04-25","KALIMANTAN BARAT","19-30",1907
"2021-04-26","KALIMANTAN BARAT","19-30",1907
"2021-04-27","KALIMANTAN BARAT","19-30",1923
"2021-04-30","KALIMANTAN BARAT","19-30",1987
"2021-05-01","KALIMANTAN BARAT","19-30",2011
"2021-05-02","KALIMANTAN BARAT","19-30",2031
"2021-05-04","KALIMANTAN BARAT","19-30",2062
"2021-05-06","KALIMANTAN BARAT","19-30",2126
"2021-05-08","KALIMANTAN BARAT","19-30",2180
"2021-05-10","KALIMANTAN BARAT","19-30",2228
"2021-05-13","KALIMANTAN BARAT","19-30",2310
"2021-05-14","KALIMANTAN BARAT","19-30",2337
"2021-05-16","KALIMANTAN BARAT","19-30",2375
"2021-05-19","KALIMANTAN BARAT","19-30",2444
"2021-05-25","KALIMANTAN BARAT","19-30",2587
"2021-05-26","KALIMANTAN BARAT","19-30",2618
"2021-05-29","KALIMANTAN BARAT","19-30",2694
"2021-05-31","KALIMANTAN BARAT","19-30",2732
"2021-06-02","KALIMANTAN BARAT","19-30",2778
"2021-06-10","KALIMANTAN BARAT","19-30",2966
"2021-06-12","KALIMANTAN BARAT","19-30",3020
"2021-06-13","KALIMANTAN BARAT","19-30",3048
"2021-03-24","KALIMANTAN SELATAN","19-30",6885
"2021-03-28","KALIMANTAN SELATAN","19-30",7132
"2021-04-07","KALIMANTAN SELATAN","19-30",7698
"2021-04-12","KALIMANTAN SELATAN","19-30",8048
"2021-04-15","KALIMANTAN SELATAN","19-30",8219
"2021-04-16","KALIMANTAN SELATAN","19-30",8265
"2021-04-17","KALIMANTAN SELATAN","19-30",8303
"2021-04-18","KALIMANTAN SELATAN","19-30",8353
"2021-04-19","KALIMANTAN SELATAN","19-30",8357
"2021-04-20","KALIMANTAN SELATAN","19-30",8389
"2021-04-21","KALIMANTAN SELATAN","19-30",8420
"2021-04-22","KALIMANTAN SELATAN","19-30",8465
"2021-04-23","KALIMANTAN SELATAN","19-30",8518
"2021-04-24","KALIMANTAN SELATAN","19-30",8568
"2021-04-25","KALIMANTAN SELATAN","19-30",8579
"2021-04-26","KALIMANTAN SELATAN","19-30",8583
"2021-04-27","KALIMANTAN SELATAN","19-30",8604
"2021-04-30","KALIMANTAN SELATAN","19-30",8687
"2021-05-01","KALIMANTAN SELATAN","19-30",8716
"2021-05-02","KALIMANTAN SELATAN","19-30",8715
"2021-05-04","KALIMANTAN SELATAN","19-30",8730
"2021-05-06","KALIMANTAN SELATAN","19-30",8766
"2021-05-08","KALIMANTAN SELATAN","19-30",8824
"2021-05-10","KALIMANTAN SELATAN","19-30",8841
"2021-05-13","KALIMANTAN SELATAN","19-30",8877
"2021-05-14","KALIMANTAN SELATAN","19-30",8877
"2021-05-16","KALIMANTAN SELATAN","19-30",8880
"2021-05-19","KALIMANTAN SELATAN","19-30",8908
"2021-05-25","KALIMANTAN SELATAN","19-30",9003
"2021-05-26","KALIMANTAN SELATAN","19-30",9020
"2021-05-29","KALIMANTAN SELATAN","19-30",9076
"2021-05-31","KALIMANTAN SELATAN","19-30",9098
"2021-06-02","KALIMANTAN SELATAN","19-30",9113
"2021-06-10","KALIMANTAN SELATAN","19-30",9215
"2021-06-12","KALIMANTAN SELATAN","19-30",9228
"2021-06-13","KALIMANTAN SELATAN","19-30",9233
"2021-03-24","KALIMANTAN TENGAH","19-30",4254
"2021-03-28","KALIMANTAN TENGAH","19-30",4366
"2021-04-07","KALIMANTAN TENGAH","19-30",4574
"2021-04-12","KALIMANTAN TENGAH","19-30",4707
"2021-04-15","KALIMANTAN TENGAH","19-30",4776
"2021-04-16","KALIMANTAN TENGAH","19-30",4804
"2021-04-17","KALIMANTAN TENGAH","19-30",4843
"2021-04-18","KALIMANTAN TENGAH","19-30",4862
"2021-04-19","KALIMANTAN TENGAH","19-30",4882
"2021-04-20","KALIMANTAN TENGAH","19-30",4917
"2021-04-21","KALIMANTAN TENGAH","19-30",4938
"2021-04-22","KALIMANTAN TENGAH","19-30",4956
"2021-04-23","KALIMANTAN TENGAH","19-30",4979
"2021-04-24","KALIMANTAN TENGAH","19-30",5005
"2021-04-25","KALIMANTAN TENGAH","19-30",5027
"2021-04-26","KALIMANTAN TENGAH","19-30",5054
"2021-04-27","KALIMANTAN TENGAH","19-30",5071
"2021-04-30","KALIMANTAN TENGAH","19-30",5144
"2021-05-01","KALIMANTAN TENGAH","19-30",5171
"2021-05-02","KALIMANTAN TENGAH","19-30",5185
"2021-05-04","KALIMANTAN TENGAH","19-30",5237
"2021-05-06","KALIMANTAN TENGAH","19-30",5276
"2021-05-08","KALIMANTAN TENGAH","19-30",5325
"2021-05-10","KALIMANTAN TENGAH","19-30",5348
"2021-05-13","KALIMANTAN TENGAH","19-30",5401
"2021-05-14","KALIMANTAN TENGAH","19-30",5412
"2021-05-16","KALIMANTAN TENGAH","19-30",5438
"2021-05-19","KALIMANTAN TENGAH","19-30",5492
"2021-05-25","KALIMANTAN TENGAH","19-30",5619
"2021-05-26","KALIMANTAN TENGAH","19-30",5648
"2021-05-29","KALIMANTAN TENGAH","19-30",5729
